岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据研发工程师,互联网/电子商务,36-60万,北京,无需经验,本科,字节跳动,"免费三餐,租房补贴"
大数据工程师,文字媒体/出版,24-48万,北京,2年,本科,曼迪匹艾（北京）科技服务有限公司,"spark,shell,编程语言,项目开发,英语,mysql,数据分析,数据管理"
大数据算法工程师,学术/科研,240-480万,杭州,3-4年,硕士,浙江大学高端装备研究院,"java,数据分析,数据采集,hadoop,spark,物联网,数据挖掘,智能制造"
大数据研发工程师,新能源,12-24万,上海,3-4年,本科,宝武碳业科技股份有限公司,"hadoop,数据库,数据分析,五险一金,补充公积金,通讯补贴,餐饮补贴"
大数据研发工程师,互联网/电子商务,42-84万,北京,3-4年,本科,字节跳动,"免费三餐,租房补贴,餐补,弹性工作,六险一金,健身瑜伽,带薪休假"
大数据研发工程师-2143,计算机软件,18-21.6万,株洲,5-7年,本科,瞬联软件科技（北京）有限公司 CIeNET Technologies,"补充医疗保险,定期体检,七险一金,带薪年假,带薪病假,免费健身"
高级大数据工程师,计算机软件,36-48万,广州,3-4年,本科,广州安永八达创意科技有限公司,"大数据,五险一金,年终奖金,定期体检,周末双休,补充医疗保险,商业保险"
大数据开发工程师,农/林/牧/渔,9.6-12万,宁德,1年,本科,宁德卫星大数据科技有限公司,"大数据,大数据开发,数据挖掘,开发,数据分析,五险一金,绩效奖金,过节费"
大数据算法工程师,计算机软件,18-24万,广州,2年,大专,北京神州泰岳软件股份有限公司,"sql,hive,spark,模型搭建,数据建模,五险一金,大平台,专业培训"
大数据开发工程师,互联网/电子商务,26-32.5万,上海,5-7年,本科,上海易班企业发展有限公司,"大数据,技术难题攻关,开发优化,算法调优,五险一金,餐饮补贴,交通补贴"
大数据工程师,机械/设备/重工,9.6-18万,杭州,2年,本科,杭州和泰机电股份有限公司,"数据库,数据分析,五险一金,周末双休,带薪年假,节日福利,餐饮补贴"
大数据工程师,计算机软件,240-360万,南京,1年,本科,南京洲源信息科技有限公司,"大数据,五险一金,弹性工作,股票期权,年终奖金,绩效奖金"
大数据工程师,专业服务(咨询、人力资源、财会),12-18万,大连,5-7年,大专,大连文鑫企业服务有限公司,"hadoop,数据库,hive,周末双休,员工旅游,节日福利,五险一金"
大数据开发工程师,计算机软件,8.4-13.2万,深圳,无需经验,本科,贵州开阔科技有限公司,"python,sql,五险一金,年终奖金,定期体检"
大数据工程师,互联网/电子商务,13.2-21.6万,南京,2年,本科,江苏省未来网络创新研究院,"大数据,存储,五险一金,交通补贴,餐饮补贴,通讯补贴,年终奖金,弹性工作"
大数据开发工程师,电子技术/半导体/集成电路,14.4-28.8万,成都,3-4年,本科,疆域康健创新医疗科技成都有限公司,"python,Linux,hadoop,数据分析,数据库,五险一金,专业培训,绩效奖金"
大数据工程师,计算机软件,9.6-16.8万,重庆,3-4年,本科,中讯志远（武汉）科技有限公司,"python,kafka,hadoop,银行,flink,年终奖金,五险一金"
大数据开发工程师,计算机软件,19.5-32.5万,广州,2年,本科,神州数码信息服务股份有限公司,"五险一金,员工旅游,交通补贴,餐饮补贴,专业培训,绩效奖金,年终奖金"
大数据开发工程师(校招岗位）,电子技术/半导体/集成电路,240-384万,长沙,2年,本科,杭州广立微电子股份有限公司,"大数据,大数据开发,开发,五险一金,员工旅游,餐饮补贴,通讯补贴"
大数据工程师,机械/设备/重工,14.4-18万,徐州,3-4年,本科,徐州徐工农业装备科技有限公司,"数据库,etl,建模,数据仓库,数据建模,大数据,数据管理,数据敏感"
大数据研发专家-风控数据BP方向,互联网/电子商务,30-60万,北京,3-4年,本科,字节跳动,"下午茶,健身瑜伽,五险一金,股票期权,团队氛围好,晋升空间大,带薪休假"
中高级大数据开发工程师-7976,计算机软件,8.4-14.4万,重庆,3-4年,大专,瞬联软件科技（北京）有限公司 CIeNET Technologies,"补充医疗保险,定期体检,七险一金,带薪年假,带薪病假,免费健身"
高级大数据开发工程师,快速消费品(食品、饮料、化妆品),30-48万,广东省,8-9年,硕士,佛山市海天调味食品股份有限公司,"大数据开发,五险一金,免费班车,年终奖金,提供食宿,定期体检,员工旅游"
模型开发（大数据开发）,计算机软件,18-24万,深圳,3-4年,本科,深圳市睿服科技有限公司,"金融,hadoop,hive,建模,五险一金,周末双休,不补班"
大数据资深专家,互联网/电子商务,48-84万,北京,5-7年,本科,字节跳动,"健身瑜伽,六险一金,带薪休假,餐补,免费三餐,弹性工作,租房补贴"
大数据开发工程师,学术/科研,180-216万,武汉,3-4年,本科,湖北珞珈实验室,"补充医疗保险,绩效奖金,定期体检,专业培训,餐饮补贴"
大数据工程师,计算机软件,12-18万,重庆,3-4年,本科,重庆扬升科技集团有限公司,"flink,spark,storm,hadoop,java,计算机,hive,kafka"
大数据开发,互联网/电子商务,8.4-16.8万,青岛,无需经验,本科,青岛黑臻科技信息有限公司,"hadoop,java,hive,数据库,数据分析,sql,spark,python,计算机"
大数据专家,互联网/电子商务,48-84万,北京,5-7年,本科,字节跳动,"五险一金,股票期权"
